Goods,Jan,Feb,March,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Mean_cpi
Cereals and products,124.7,124.8,124.8,124.9,125,125.9,126.8,127.6,128.1,128.7,130.2,131.6,126.925
Meat and fish,135.9,135.1,136.3,139.3,142.1,143.9,144.2,140.3,137.7,138.4,138.5,138.2,139.1583333
Egg,132,130.3,123.7,119.9,127,130.9,136.6,133.7,130.6,130.3,134.1,134.9,130.3333333
Milk and products,129.2,129.6,129.7,130.2,130.4,131,131.8,132.2,132.6,132.7,132.9,133.1,131.2833333
Oils and fats,109.7,108.4,107.9,108.9,109.6,110.2,111,111.8,111.9,112.5,112.6,113.5,110.6666667
Fruits,119,118.6,119.9,131.1,133.5,135.5,137,135.8,132.5,130.4,130.8,129.3,129.45
Vegetables,144.1,129.2,128.1,136.8,151.4,173.7,179.5,163.5,152.9,155.1,142,121.1,148.1166667
Pulses and products,184.2,176.4,170.3,176.9,182.8,184.4,188.4,182.3,173.6,175.7,174.9,170.3,178.35
Sugar and Confectionery,96.7,99.1,101.8,109.1,111.1,112,113.3,114.6,115.1,115.4,115.6,115.5,109.9416667
Spices,139.5,139.7,140.1,140.4,141.5,142.8,143.9,144.6,144.8,145.3,145.4,145.5,142.7916667
Non-alcoholic beverages,120.5,120.6,120.7,121.1,121.5,121.6,121.7,121.9,122.1,122.5,122.7,123.1,121.6666667
"Prepared meals, snacks, sweets etc.",134.7,135.2,135.4,135.9,136.3,136.9,137.5,138.1,138.8,139.6,140.3,140.9,137.4666667
Food and beverages,131.2,129.1,128.9,131.8,134.6,138.2,139.8,137.6,135.7,136.3,135.2,132.8,134.2666667
"Pan, tobacco and intoxicants",139.5,140,140.6,141.5,142.2,142.7,142.9,143.6,143.9,144.3,144.3,145,142.5416667
Clothing,125.8,126.2,126.4,126.8,127.2,127.6,127.9,128.3,128.7,129.1,129.6,130,127.8
Footwear,119.8,120.1,120.3,120.5,120.7,121.1,121.1,121.4,121.6,121.9,122.1,122.2,121.0666667
Clothing and footwear,124.9,125.3,125.5,125.8,126.2,126.6,126.9,127.3,127.7,128,128.5,128.8,126.7916667
Housing,123.4,124.4,124.9,125.6,126,125.5,126.4,127.3,127.9,128.7,129.1,128.5,126.475
Fuel and light,116.9,116,114.8,114.6,115,115.5,115.5,114.7,114.8,115.2,116.2,117.8,115.5833333
Household goods and services,121.6,121.8,122.3,122.8,123.2,123.2,123.5,123.9,124.3,124.5,124.7,125,123.4
Health,119.1,119.5,119.7,120,120.3,120.6,120.9,121.2,121.4,121.8,122.1,122.3,120.7416667
Transport and communication,108.9,109.1,108.5,110,110.7,112.3,111.7,110.4,111.8,112.8,113.4,113.7,111.1083333
Recreation and amusement,118.5,118.8,119.1,119.5,119.8,119.9,120.3,120.6,120.8,121.2,121.7,121.8,120.1666667
Education,126.4,126.3,126.4,127.6,128,129.3,130.8,131.5,131.6,131.9,132.1,132.3,129.5166667
Personal care and effects,114,116.2,117.1,117.6,118.5,118.8,120,120.9,121.2,120.8,121.3,119.9,118.8583333
Miscellaneous,116.8,117.2,117.3,118.2,118.7,119.6,119.9,119.9,120.5,120.9,121.3,121.4,119.3083333
General index,124.2,123.8,123.8,125.3,126.6,128.1,129,128.4,128,128.6,128.5,127.6,126.825
