Goods,Jan,Feb,March,June,July,Aug,Sept,Oct,Nov,Dec,Mean_cpi
Cereals and products,145.6,146.2,146.5,152.7,152.7,151.6,151.5,150.6,149.7,149,149.61
Meat and fish,167.6,167.6,167.5,197,197,197.8,193.1,193.7,195.5,195.7,187.25
Egg,157,153.1,148.9,154.6,154.6,154.5,157.3,164.8,176.9,178.3,160
Milk and products,149.3,150.7,151.1,153.4,153.4,153.4,153.9,153.7,153.9,154.2,152.7
Oils and fats,126.3,127.4,127.5,132.9,132.9,133.4,134.4,135.7,138,140.7,132.92
Fruits,144.4,143.1,143.3,151.8,151.8,154.5,155.4,155.7,150.5,149.7,150.02
Vegetables,207.8,181.7,167,171.2,171.2,191.9,202,226,245.3,240.9,200.5
Pulses and products,139.1,139.6,139.7,152,152,151.3,150.8,152.2,158.7,161.5,149.69
Sugar and Confectionery,114.8,114.6,114.4,116.3,116.3,116.8,118.9,118.1,117.2,117.1,116.45
Spices,149.5,150.4,151.5,158.8,158.8,160,160.9,161.3,161.4,161.9,157.45
Non-alcoholic beverages,131.1,131.5,131.9,135.6,135.6,136.5,137.7,139.2,141.5,143.3,136.39
"Prepared meals, snacks, sweets etc.",158.5,159,159.1,161.7,161.7,163.3,164.4,164.8,165.1,166.1,162.37
Food and beverages,154.4,151.7,150.1,157,157,159.9,161.3,164.4,167,167,158.98
"Pan, tobacco and intoxicants",170.8,172,173.3,186.7,186.7,187.2,188.7,188.7,188.8,190.2,183.31
Clothing,147,147.3,147.7,149.1,149.1,150,150.2,150.5,151.1,151.9,149.39
Footwear,133.2,133.5,133.8,136.6,136.6,135.2,136.3,136.1,136.4,136.7,135.44
Clothing and footwear,144.9,145.2,145.6,147.2,147.2,147.8,148.1,148.3,148.8,149.6,147.27
Housing,153.9,154.8,154.5,154.7,154.7,155.5,156.3,156.5,158,158.4,155.73
Fuel and light,135.1,138.9,141.4,137.1,137.1,138.3,137.2,137.1,137.3,137.9,137.74
Household goods and services,140.1,140.4,140.8,140.4,140.4,144.5,145.4,145.1,145.1,145.5,142.77
Health,143.8,144.4,145,148.1,148.1,148.7,150,151,152,152.9,148.4
Transport and communication,126.1,125.2,124.6,129.3,129.3,133.9,135.1,135.4,135.2,135.5,130.96
Recreation and amusement,137.2,137.7,137.9,144.5,144.5,141.2,141.8,142,144.4,144.3,141.55
Education,152.1,152.2,152.5,152.5,152.5,155.5,154.9,155.7,156.4,156.9,154.12
Personal care and effects,142.1,143.5,145.3,152.2,152.2,155.2,159.8,158.1,157.9,157.9,152.42
Miscellaneous,138.4,138.4,138.7,142,142,144.8,146,146.2,146.6,146.9,143
General index,148.2,147.7,147.3,150.8,150.8,152.9,154,155.2,156.7,156.9,152.05
