Goods,Jan,Feb,March,Apr,May,June,July,Aug,Sept,Oct,Nov,Dec,Mean_cpi
Cereals and products,121.2,121.9,122.1,122.5,122.7,123.1,123.8,124.8,124.2,124.6,124.5,124,123.2833333
Meat and fish,122,122,121.4,121.7,124.1,125.9,126.4,127.3,125.4,126.1,125.6,124.7,124.3833333
Egg,129.9,124.5,121.5,113.3,114.2,115.4,118,116.5,116.4,117.8,122.7,126.3,119.7083333
Milk and products,113.6,115.2,116.2,117,119.1,120.4,121.6,122.2,122.7,123.1,124.6,124.9,120.05
Oils and fats,102.9,102.5,102.8,103.1,103.5,103.4,103.5,103.6,103.5,103.5,103.2,103,103.2083333
Fruits,112.1,114.1,117.7,126.7,129.2,131.2,133.7,132.7,124.5,123.5,122.2,122.3,124.1583333
Vegetables,118.9,111.5,113.3,121.2,127,137.5,172.4,181.9,168.6,159.6,153.2,141,142.175
Pulses and products,107.5,108.2,108.9,111,112.6,112.8,113.1,115.2,116.9,117.4,119.3,120.1,113.5833333
Sugar and Confectionery,96.9,95.4,96.3,100.3,101.3,101.4,102.7,102.7,101.9,101.2,99.8,97.8,99.80833333
Spices,112.7,113.5,114.1,115.3,117,118.3,120,122.1,122.9,123.8,124.6,125.4,119.1416667
Non-alcoholic beverages,112.1,112.1,112.2,112.7,112.9,113.2,113.8,114.4,114.8,115.2,115.8,116.1,113.775
"Prepared meals, snacks, sweets etc.",119,119.9,120.5,121,121.7,122.4,123.4,124.7,125.2,125.9,126.9,127.6,123.1833333
Food and beverages,115.5,115.2,116,118.2,120,122,127.1,128.9,126.7,125.8,125.4,124,122.0666667
"Pan, tobacco and intoxicants",115.7,116.2,116.7,117.6,118.3,119,121,123,124.3,124.3,125.8,126.4,120.6916667
Clothing,114.8,115.3,115.8,116.3,116.8,117.4,118,118.6,119.2,119.6,120.3,120.7,117.7333333
Footwear,111.3,111.7,112.1,112.5,112.9,113.2,113.6,114.1,114.5,114.9,115.4,115.8,113.5
Clothing and footwear,114.3,114.7,115.2,115.7,116.2,116.7,117.4,117.9,118.4,118.9,119.5,120,117.075
Housing,111.6,112.5,113.2,113.9,114.3,113.9,114.8,115.5,116.1,116.7,117.1,116.5,114.675
Fuel and light,111,111.1,110.9,110.9,111.1,111.2,111.6,111.8,111.8,112,112.6,113,111.5833333
Household goods and services,111.9,112.6,113,113.4,114.1,114.3,114.9,115.3,115.5,115.8,116.4,116.8,114.5
Health,109.7,110.4,110.8,111,111.2,111.4,111.5,112.2,112.3,112.6,113,113.2,111.6083333
Transport and communication,110.8,111.3,111.6,111.2,111.3,111.5,113,112.5,111.2,111,109.7,108.8,111.1583333
Recreation and amusement,109.8,110.3,110.9,111.2,111.5,111.8,112.4,112.9,113.4,113.6,114,114.3,112.175
Education,111.5,111.6,111.8,112.5,112.9,115.1,117.8,119.2,120,120.2,120.3,120.7,116.1333333
Personal care and effects,108,108.7,109.2,109.1,109.3,108.7,109.7,110.5,110,110.1,109.6,110.4,109.4416667
Miscellaneous,110.5,111,111.4,111.4,111.7,112.2,113.5,113.9,113.6,113.7,113.4,113.4,112.475
General index,112.9,113.1,113.7,114.7,115.6,116.4,118.9,119.9,119.2,119.1,119,118.4,116.7416667
