Goods,Jan,Feb,March,May,June,July,Aug,Sept,Oct,Nov,Dec,Mean_cpi
Cereals and products,138.3,139.4,139.7,140.4,140.7,141.4,142.1,142.7,143.5,144.1,144.9,141.5636364
Meat and fish,149.4,150.1,151.1,156.7,159.6,160.2,158.3,158.7,159.8,162.4,164.5,157.3454545
Egg,143.5,145.3,142.9,138.3,140.4,142.5,140.8,141.6,144.7,148.4,153.7,143.8272727
Milk and products,141.7,141.7,141.9,142.4,143.4,144.1,144.9,144.9,145.6,145.9,147.5,144
Oils and fats,118.1,118.4,118.4,118.6,118.6,119.3,119.9,120.8,121.1,121.5,122.7,119.7636364
Fruits,135.2,137,139.4,149.7,150.9,154.7,153.9,149.8,150.6,148.8,147.2,147.0181818
Vegetables,130.5,131.6,141.2,161.6,169.8,180.1,189.1,192.4,207.2,215.7,231.5,177.3363636
Pulses and products,118.2,119.9,120.7,124.4,127.4,128.9,129.8,130.3,131.2,134.6,137.2,127.5090909
Sugar and Confectionery,110.4,110.4,110.4,111.2,111.8,111.8,112.7,114,114.8,115,114.7,112.4727273
Spices,140.4,140.8,140.7,141,141,141.6,142.5,143.8,145.2,146.3,148,142.8454545
Non-alcoholic beverages,128.1,128.3,128.5,128.9,129,129.5,129.8,130,130.2,130.5,130.8,129.4181818
"Prepared meals, snacks, sweets etc.",153.2,153.5,153.9,154.5,155.1,155.6,156.2,156.4,156.8,157.2,157.7,155.4636364
Food and beverages,137.3,138,139.6,143.8,145.6,147.7,149.1,149.5,151.9,153.6,156.3,146.5818182
"Pan, tobacco and intoxicants",164.7,164.9,165.3,166.2,166.7,167.2,167.9,168.6,169.3,169.9,170.4,167.3727273
Clothing,143,143.3,143.5,144,144.3,144.7,145,145.3,145.9,146.3,146.8,144.7363636
Footwear,130.4,130.8,131.2,131.7,131.7,131.9,132.2,132.2,132.4,132.6,132.8,131.8090909
Clothing and footwear,141.1,141.4,141.6,142.2,142.4,142.7,143,143.3,143.9,144.2,144.6,142.7636364
Housing,147.7,148.5,149,150.1,149.4,150.6,151.6,152.2,153,153.5,152.8,150.7636364
Fuel and light,128.6,127.1,128.8,129.4,130.5,127,125.5,126.6,128.9,132.2,133.6,128.9272727
Household goods and services,136.3,136.6,136.8,137.2,137.4,137.7,138.1,138.3,138.7,139.1,139.8,137.8181818
Health,137.8,138.5,139.2,139.8,140.3,140.8,141.5,141.9,142.4,142.8,143.2,140.7454545
Transport and communication,118.6,119.2,119.9,120.1,119.6,120.6,120.8,121.2,121.5,121.7,125.2,120.7636364
Recreation and amusement,131.9,132.2,133,134,134.3,135,135.4,135.9,136.2,136.7,136.8,134.6727273
Education,146.6,146.6,146.7,148,148.9,150.4,151.5,151.6,151.7,151.8,151.9,149.6090909
Personal care and effects,131.7,133,132.5,132.6,133.7,135.1,137.8,139,139.5,139.8,140.2,135.9
Miscellaneous,131.8,132.4,132.8,133.3,133.6,134.5,135.3,135.7,136,136.3,137.7,134.4909091
General index,138,138.6,139.5,141.5,142.1,143.3,144.2,144.7,146,147,148.3,143.0181818
